A veteran of Thoth Station.;{'entities': [(13, 26, 'LOC')]}
On any given day, a thousand ships might be docked on Ceres Station.;{'entities': [(54, 67, 'LOC')]}
It was apparently deeply meaningful in the youth culture of Tycho Station.;{'entities': [(60, 73, 'LOC')]}
His Belter bones were longer than those of Earthers or Martians.;{'entities': [(4, 10, 'NORP'), (43, 51, 'NORP'), (55, 63, 'NORP')]}
Amos loves the Belt.;{'entities': [(0, 4, 'PERSON'), (15, 19, 'LOC')]}
Detective Miller worked for Star Helix Security.;{'entities': [(0, 16, 'PERSON'), (28, 47, 'ORG')]}
Star Helix was an Earth corporation.;{'entities': [(0, 10, 'ORG'), (18, 23, 'LOC')]}
Star Helix is responsible for Ceres security.;{'entities': [(0, 10, 'ORG'), (30, 35, 'LOC')]}
Collecting protection money for the Golden Bough Society.;{'entities': [(36, 56, 'ORG')]}
Golden Bough's looking the same as Sohiro's crew and the Loca Greiga.;{'entities': [(0, 12, 'ORG'), (35, 41, 'ORG'), (57, 68, 'ORG')]}
You're telling me the Loca Greiga stopped charging protection?;{'entities': [(22, 33, 'ORG')]}
So why hasn't the Golden Bough meted out some gangster justice?;{'entities': [(18, 30, 'ORG')]}
The OPA was beloved by the people it helped;{'entities': [(4, 7, 'NORP')]}
Opa was beloved by the people he helped.;{'entities': [(0, 3, 'PERSON')]}
Meaning Star Helix Security has accepted a contract for services separate from the Ceres security assignment.;{'entities': [(8, 27, 'ORG'), (83, 88, 'LOC')]}
The Earth-Mars Coalition Navy often passed through Ceres on its way to Saturn;{'entities': [(4, 29, 'ORG'), (51, 56, 'LOC'), (71, 77, 'LOC')]}
Last records show she was employed on Tycho LOC.;{'entities': [(38, 51, 'LOC')]}
I know she shipped out for Tycho.;{'entities': [(27, 32, 'LOC')]}
Tycho was a city, and he suddenly felt very much like a foreigner.;{'entities': [(0, 5, 'LOC')]}
Why was a gas hauler going between Pallas and Tycho?;{'entities': [(35, 41, 'LOC'), (46, 51, 'LOC')]}
Anyone who doesn't live on a spaceship is structurally vulnerable. Tycho, Eros, Pallas, Ceres.;{'entities': [(67, 72, 'LOC'), (74, 78, 'LOC'), (80, 86, 'LOC'), (88, 93, 'LOC')]}
Tycho LOC was the headquarters of Tycho in the Belt.;{'entities': [(0, 13, 'LOC'), (38, 43, 'LOC'), (51, 55, 'LOC')]}
Making Tycho LOC the largest mobile construction platform in the solar system.;{'entities': [(7, 20, 'LOC'), (69, 81, 'LOC')]}
People aren't just going to forget about ships, like the Donnager.;{'entities': [(57, 65, 'SHIP')]}
The Scopuli had been taken eight days ago, and Julie Mao was finally ready to be shot.;{'entities': [(4, 11, 'SHIP'), (47, 56, 'PERSON')]}
The few sensor logs that still streamed showed no sign of the Scopuli.;{'entities': [(62, 69, 'SHIP')]}
Light freighter. Martian registry. Shows Eros as home port. Calls itself Scopuli ...;{'entities': [(17, 24, 'GPE'), (41, 45, 'LOC'), (73, 80, 'SHIP')]}
The image the Knight created by bouncing a laser off the Scopuli's hull.;{'entities': [(14, 20, 'SHIP'), (57, 64, 'SHIP')]}
Knight's landing gear isn't going to be good in atmosphere until I can get the seals replaced.;{'entities': [(0, 6, 'SHIP')]}
Holden, where does the Knight stand?;{'entities': [(0, 6, 'PERSON'), (23, 29, 'SHIP')]}
the Canterbury was a retooled colony transport;{'entities': [(4, 14, 'SHIP')]}
output of the Canterbury's reactor and engine updating in the corners;{'entities': [(14, 24, 'SHIP')]}
If the Canterbury sensed an anomaly;{'entities': [(7, 17, 'SHIP')]}
MCRN Sally Ride this is Captain James Holden of the UNN Escort Vessel Ravi.;{'entities': [(5, 15, 'SHIP'),(32, 44, 'PERSON'),(70, 74, 'SHIP')]}
The Cant's a century-old ice hauler.;{'entities': [(4, 8, 'SHIP')]}
And the big array on the Cant can spot a kid throwing rocks on Luna.;{'entities': [(25, 29, 'SHIP'), (63, 67, 'LOC')]}
The Belt had been a far horizon of tremendous mineral wealth;{'entities': [(4, 8, 'LOC')]}
until the Mormons finished their generation ship and headed for the stars;{'entities': [(10, 17, 'NORP')]}
And then there was the Belt.;{'entities': [(23, 27, 'LOC')]}
If you asked OPA recruiters, they might say there were a hundred million in the Belt.;{'entities': [(13, 16, 'NORP'), (80, 84, 'LOC')]}
So now the Canterbury and her dozens of sister ships in the Pur'n'Kleen Water Company;{'entities': [(11, 21, 'SHIP'), (60, 85, 'ORG')]}
From Saturn's generous rings to the Belt.;{'entities': [(5, 11, 'LOC'), (36, 40, 'LOC')]}
You're the XO here;{}
Hull configuration matches the registry information.;{}
Hull configuration is looking good Cap.;{}
Hull structure took some damage.;{}
Hull structure isn't the only recognition metric.;{}
CQB stands for 'close quarter combat';{}
Everyone has an Adam's apple.;{}
The Buddha statue looked good.;{}
Nitrogen, O2, Helium-3 and oxygen are atmospheric gases.;{}
Oxygen, Helium and nitrogen are atmospheric gases.;{}
Chalk another one up.;{}
Almost immediately the PDC fire stopped.;{}
The HUD in his armor flickered.;{}
Bogey one has fired!;{}
Neural regrowth hormone? Posthuman.;{}
Get an EVA pack!;{}
The PDC got it, but it was close.;{}
The Roci and bogey two flew toward each other at suicidal speeds.;{'entities': [(4, 8, 'SHIP')]}
Alex flagged the two fast movers for the PDCs.;{'entities': [(0, 4, 'PERSON')]}
The Razorback is a racing pinnace.;{'entities': [(4, 13, 'SHIP')]}
The Donnager is a destroyer.;{'entities': [(4, 12, 'SHIP')]}
The Rocinante is a frigate bomber with PDCs.;{'entities': [(4, 13, 'SHIP')]}
The Tachi is a light frigate with point defense cannons.;{'entities': [(4, 9, 'SHIP')]}
The Roci docked at Eros on time.;{'entities': [(4, 8, 'SHIP'), (19, 23, 'LOC')]}
The Knight tried to hail the Donnager.;{'entities': [(4, 10, 'SHIP'), (29, 37, 'SHIP')]}
She'd won first place in something called the Parrish/Dorn 500K.;{}
Alex climbed up to the Knight's cockpit.;{'entities': [(0, 4, 'PERSON'), (23, 29, 'SHIP')]}
Holden said, and clicked from internal comm to the link with the Canterbury's bridge.;{'entities': [(0, 6, 'PERSON'), (65, 75, 'SHIP')]}
Bomie got jumped by a bunch of thugs.;{'entities': [(0, 5, 'PERSON')]}
The Blue Frog was a port bar.;{'entities': [(4, 13, 'FAC')]}
Ceres Center for Jiu Jitsu is the name of a gym.;{'entities': [(0, 12, 'FAC')]}
Julie had earned her brown belt in Jiu Jitsu.;{'entities': [(0, 5, 'PERSON')]}
Julie was in her office on the Razorback.;{'entities': [(0, 5, 'PERSON'), (31, 40, 'SHIP')]}
Juliette Andromeda Mao is a pinnace racer.;{'entities': [(0, 22, 'PERSON')]}
The Guy Molinari fired a Gauss round at them.;{'entities': [(0, 16, 'SHIP')]}
Corporaçõ do Gato Preto is an inport-export organization;{'entities': [(0, 23, 'ORG')]}
Sergeant Pauline Trikoloski doesn't exist.;{'entities': [(0, 27, 'PERSON')]}
Gravity is a unit measured in 'g'.;{}
They fired Teflon-coated tungsten steel rounds.;{}
The Donnie went up behind us, Cap.;{'entities': [(4, 10, 'SHIP')]}
CPM took over Protogen's security contract on Eros.;{'entities': [(0, 3, 'ORG'), (14, 22, 'ORG'), (46, 50, 'LOC')]}
CPM stands for Carne Por la Machina.;{'entities': [(0, 3, 'ORG')]}
Sematimba is a security contractor on Eros.;{'entities': [(0, 9, 'PERSON'), (38, 42, 'LOC')]}
Maokwik is short for Mao-Kwikowski Mercantile.;{'entities': [(0, 7, 'ORG'), (21, 45, 'ORG')]}
